scenario_key,down_pct,fill_rate,appreciation,furnish,is_empty,days_in_year,owner_days,occupied_days,gross_rent,fixed_costs,variable_costs,total_operating_outflow,net_cash_flow_annual,operating_pnl_annual,sale_price,adjusted_basis,gain_realized,suspended_pal,net_proceeds_after_tax,avg_annual_economic_cost,rent_equivalent_val,economic_premium,incremental_benefit_cash
0.2_0.75_0.01_16000.0,0.2,0.75,0.01,16000.0,False,365,28,202.5,18639.05325443787,32686.509035706535,8834.511834319526,41521.02087002606,-22881.967615588193,-19997.067700390337,380608.04999798856,296102.2727272727,57863.21377085667,223752.20117545966,150004.20945523947,6246.54483626827,8334.0,-2087.45516373173,9804.541420118341
0.2_0.75_0.01_16000.0,0.2,0.75,0.01,16000.0,False,365,42,202.5,18639.05325443787,32686.509035706535,8834.511834319526,41521.02087002606,-22881.967615588193,-19997.067700390337,380608.04999798856,296102.2727272727,57863.21377085667,223752.20117545966,150004.20945523947,6246.54483626827,12501.0,-6254.45516373173,9804.541420118341
0.2_0.75_0.01_30000.0,0.2,0.75,0.01,30000.0,False,365,28,202.5,18639.05325443787,32686.509035706535,8834.511834319526,41521.02087002606,-22881.967615588193,-19997.067700390337,380608.04999798856,296102.2727272727,57863.21377085667,237752.20117545966,154344.20945523947,6326.54483626827,8334.0,-2007.45516373173,9804.541420118341
0.2_0.75_0.01_30000.0,0.2,0.75,0.01,30000.0,False,365,28,202.5,18639.05325443787,32686.509035706535,8834.511834319526,41521.02087002606,-22881.967615588193,-19997.067700390337,380608.04999798856,296102.2727272727,57863.21377085667,237752.20117545966,154344.20945523947,6326.54483626827,8334.0,-2007.45516373173,9804.541420118341
0.2_0.75_0.01_30000.0,0.2,0.75,0.01,30000.0,False,365,42,202.5,18639.05325443787,32686.509035706535,8834.511834319526,41521.02087002606,-22881.967615588193,-19997.067700390337,380608.04999798856,296102.2727272727,57863.21377085667,237752.20117545966,154344.20945523947,6326.54483626827,12501.0,-6174.45516373173,9804.541420118341
0.2_0.75_0.03_8000.0,0.2,0.75,0.03,8000.0,False,365,28,202.5,18639.05325443787,32686.509035706535,8834.511834319526,41521.02087002606,-22881.967615588193,-19997.067700390337,436605.2222258289,296102.2727272727,109940.5839427482,215752.20117545963,188290.62991765916,377.05619877974306,8334.0,-7956.943801220257,9804.541420118341
0.2_0.75_0.03_8000.0,0.2,0.75,0.03,8000.0,False,365,28,202.5,18639.05325443787,32686.509035706535,8834.511834319526,41521.02087002606,-22881.967615588193,-19997.067700390337,436605.2222258289,296102.2727272727,109940.5839427482,215752.20117545963,188290.62991765916,377.05619877974306,8334.0,-7956.943801220257,9804.541420118341
0.2_0.75_0.03_8000.0,0.2,0.75,0.03,8000.0,False,365,42,202.5,18639.05325443787,32686.509035706535,8834.511834319526,41521.02087002606,-22881.967615588193,-19997.067700390337,436605.2222258289,296102.2727272727,109940.5839427482,215752.20117545963,188290.62991765916,377.05619877974306,12501.0,-12123.943801220257,9804.541420118341
0.2_0.75_0.03_16000.0,0.2,0.75,0.03,16000.0,False,365,28,202.5,18639.05325443787,32686.509035706535,8834.511834319526,41521.02087002606,-22881.967615588193,-19997.067700390337,436605.2222258289,296102.2727272727,109940.5839427482,223752.20117545966,190370.62991765916,479.9133416368859,8334.0,-7854.086658363114,9804.541420118341
0.2_0.75_0.03_16000.0,0.2,0.75,0.03,16000.0,False,365,28,202.5,18639.05325443787,32686.509035706535,8834.511834319526,41521.02087002606,-22881.967615588193,-19997.067700390337,436605.2222258289,296102.2727272727,109940.5839427482,223752.20117545966,190370.62991765916,479.9133416368859,8334.0,-7854.086658363114,9804.541420118341
0.2_0.75_0.03_16000.0,0.2,0.75,0.03,16000.0,False,365,42,202.5,18639.05325443787,32686.509035706535,8834.511834319526,41521.02087002606,-22881.967615588193,-19997.067700390337,436605.2222258289,296102.2727272727,109940.5839427482,223752.20117545966,190370.62991765916,479.9133416368859,12501.0,-12021.086658363114,9804.541420118341
0.2_0.75_0.03_30000.0,0.2,0.75,0.03,30000.0,False,365,28,202.5,18639.05325443787,32686.509035706535,8834.511834319526,41521.02087002606,-22881.967615588193,-19997.067700390337,436605.2222258289,296102.2727272727,109940.5839427482,237752.20117545966,194010.62991765916,659.9133416368859,8334.0,-7674.086658363114,9804.541420118341
0.2_0.75_0.03_30000.0,0.2,0.75,0.03,30000.0,False,365,28,202.5,18639.05325443787,32686.509035706535,8834.511834319526,41521.02087002606,-22881.967615588193,-19997.067700390337,436605.2222258289,296102.2727272727,109940.5839427482,237752.20117545966,194010.62991765916,659.9133416368859,8334.0,-7674.086658363114,9804.541420118341
0.2_0.75_0.03_30000.0,0.2,0.75,0.03,30000.0,False,365,42,202.5,18639.05325443787,32686.509035706535,8834.511834319526,41521.02087002606,-22881.967615588193,-19997.067700390337,436605.2222258289,296102.2727272727,109940.5839427482,237752.20117545966,194010.62991765916,659.9133416368859,12501.0,-11841.086658363114,9804.541420118341
0.2_0.75_0.05_8000.0,0.2,0.75,0.05,8000.0,False,365,28,202.5,18639.05325443787,32686.509035706535,8834.511834319526,41521.02087002606,-22881.967615588193,-19997.067700390337,499520.6500429689,296102.2727272727,168451.93181268836,215752.20117545963,235099.70821361127,-6309.954986356273,8334.0,-14643.954986356273,9804.541420118341
0.2_0.75_0.05_8000.0,0.2,0.75,0.05,8000.0,False,365,28,202.5,18639.05325443787,32686.509035706535,8834.511834319526,41521.02087002606,-22881.967615588193,-19997.067700390337,499520.6500429689,296102.2727272727,168451.93181268836,215752.20117545963,235099.70821361127,-6309.954986356273,8334.0,-14643.954986356273,9804.541420118341
0.2_0.75_0.05_8000.0,0.2,0.75,0.05,8000.0,False,365,42,202.5,18639.05325443787,32686.509035706535,8834.511834319526,41521.02087002606,-22881.967615588193,-19997.067700390337,499520.6500429689,296102.2727272727,168451.93181268836,215752.20117545963,235099.70821361127,-6309.954986356273,12501.0,-18810.95498635627,9804.541420118341
0.2_0.75_0.05_16000.0,0.2,0.75,0.05,16000.0,False,365,28,202.5,18639.05325443787,32686.509035706535,8834.511834319526,41521.02087002606,-22881.967615588193,-19997.067700390337,499520.6500429689,296102.2727272727,168451.93181268836,223752.20117545966,237179.70821361127,-6207.097843499131,8334.0,-14541.09784349913,9804.541420118341
0.2_0.75_0.05_16000.0,0.2,0.75,0.05,16000.0,False,365,28,202.5,18639.05325443787,32686.509035706535,8834.511834319526,41521.02087002606,-22881.967615588193,-19997.067700390337,499520.6500429689,296102.2727272727,168451.93181268836,223752.20117545966,237179.70821361127,-6207.097843499131,8334.0,-14541.09784349913,9804.541420118341
