key,weeks,appreciation,occupancy,furnish,rent_alternative,is_empty,net_cash_flow,avg_annual_econ_cost,econ_premium,net_sale_proceeds,gross_revenue,fixed_costs,variable_costs,tax_recapture,tax_ltcg,tax_saved_pal,sale_price
4_weeks_0.05_0.6_16000.0,4,0.05,0.6,16000.0,10000.0,False,-21588.94324623285,6816.227318074891,-3183.7726819251093,232840.26149710573,18513.157894736843,31686.509035706535,8415.592105263158,20943.18181818182,16935.840907992217,65023.735647886926,499520.6500429689
4_weeks_0.05_0.6_30000.0,4,0.05,0.6,30000.0,10000.0,False,-21588.94324623285,8996.22731807489,-1003.7726819251093,236480.26149710573,18513.157894736843,31686.509035706535,8415.592105263158,24443.18181818182,14135.840907992217,69363.73564788693,499520.6500429689
4_weeks_0.01_0.7_8000.0,4,0.01,0.7,8000.0,10000.0,False,-19396.015614653905,16568.178503481387,6568.178503481387,138426.1097782076,21598.684210526317,31686.509035706535,9308.190789473685,14465.803442714168,0.0,57785.08268736062,380608.04999798856
4_weeks_0.01_0.7_16000.0,4,0.01,0.7,16000.0,10000.0,False,-19396.015614653905,17756.74993205282,7756.749932052819,140906.1097782076,21598.684210526317,31686.509035706535,9308.190789473685,14465.803442714168,0.0,60265.08268736063,380608.04999798856
4_weeks_0.01_0.7_30000.0,4,0.01,0.7,30000.0,10000.0,False,-19396.015614653905,19836.74993205282,9836.749932052819,145246.1097782076,21598.684210526317,31686.509035706535,9308.190789473685,14465.803442714168,0.0,64605.08268736063,380608.04999798856
4_weeks_0.03_0.7_8000.0,4,0.03,0.7,8000.0,10000.0,False,-19396.015614653905,10744.404151707147,744.4041517071473,179192.5302406273,21598.684210526317,31686.509035706535,9308.190789473685,18943.18181818182,6833.571334004184,57785.08268736062,436605.2222258289
4_weeks_0.03_0.7_16000.0,4,0.03,0.7,16000.0,10000.0,False,-19396.015614653905,11990.118437421434,1990.1184374214336,181272.5302406273,21598.684210526317,31686.509035706535,9308.190789473685,20943.18181818182,5233.571334004184,60265.08268736063,436605.2222258289
4_weeks_0.03_0.7_30000.0,4,0.03,0.7,30000.0,10000.0,False,-19396.015614653905,14170.118437421434,4170.118437421434,184912.5302406273,21598.684210526317,31686.509035706535,9308.190789473685,24443.18181818182,2433.571334004184,64605.08268736063,436605.2222258289
4_weeks_0.05_0.7_8000.0,4,0.05,0.7,8000.0,10000.0,False,-19396.015614653905,4057.3929665711307,-5942.607033428869,226001.6085365794,21598.684210526317,31686.509035706535,9308.190789473685,18943.18181818182,18535.840907992217,57785.08268736062,499520.6500429689
4_weeks_0.05_0.7_16000.0,4,0.05,0.7,16000.0,10000.0,False,-19396.015614653905,5303.1072522854165,-4696.8927477145835,228081.6085365794,21598.684210526317,31686.509035706535,9308.190789473685,20943.18181818182,16935.840907992217,60265.08268736063,499520.6500429689
4_weeks_0.05_0.7_30000.0,4,0.05,0.7,30000.0,10000.0,False,-19396.015614653905,7483.1072522854165,-2516.8927477145835,231721.6085365794,21598.684210526317,31686.509035706535,9308.190789473685,24443.18181818182,14135.840907992217,64605.08268736063,499520.6500429689
4_weeks_0.01_0.75_8000.0,4,0.01,0.75,8000.0,10000.0,False,-18299.55179886443,15811.618470586658,5811.618470586658,136046.78329794444,23141.44736842105,31686.509035706535,9754.490131578947,14465.803442714168,0.0,55405.75620709745,380608.04999798856
4_weeks_0.01_0.75_16000.0,4,0.01,0.75,16000.0,10000.0,False,-18299.55179886443,17000.189899158086,7000.189899158086,138526.78329794444,23141.44736842105,31686.509035706535,9754.490131578947,14465.803442714168,0.0,57885.75620709745,380608.04999798856
4_weeks_0.01_0.75_30000.0,4,0.01,0.75,30000.0,10000.0,False,-18299.55179886443,19080.189899158086,9080.189899158086,142866.78329794444,23141.44736842105,31686.509035706535,9754.490131578947,14465.803442714168,0.0,62225.75620709745,380608.04999798856
4_weeks_0.03_0.75_8000.0,4,0.03,0.75,8000.0,10000.0,False,-18299.55179886443,9987.844118812416,-12.155881187583873,176813.20376036412,23141.44736842105,31686.509035706535,9754.490131578947,18943.18181818182,6833.571334004184,55405.75620709745,436605.2222258289
4_weeks_0.03_0.75_16000.0,4,0.03,0.75,16000.0,10000.0,False,-18299.55179886443,11233.558404526702,1233.5584045267024,178893.20376036412,23141.44736842105,31686.509035706535,9754.490131578947,20943.18181818182,5233.571334004184,57885.75620709745,436605.2222258289
4_weeks_0.03_0.75_30000.0,4,0.03,0.75,30000.0,10000.0,False,-18299.55179886443,13413.558404526702,3413.5584045267024,182533.20376036412,23141.44736842105,31686.509035706535,9754.490131578947,24443.18181818182,2433.571334004184,62225.75620709745,436605.2222258289
4_weeks_0.05_0.75_8000.0,4,0.05,0.75,8000.0,10000.0,False,-18299.55179886443,3300.832933676396,-6699.167066323604,223622.28205631627,23141.44736842105,31686.509035706535,9754.490131578947,18943.18181818182,18535.840907992217,55405.75620709745,499520.6500429689
4_weeks_0.05_0.75_16000.0,4,0.05,0.75,16000.0,10000.0,False,-18299.55179886443,4546.547219390682,-5453.452780609318,225702.28205631627,23141.44736842105,31686.509035706535,9754.490131578947,20943.18181818182,16935.840907992217,57885.75620709745,499520.6500429689
4_weeks_0.05_0.75_30000.0,4,0.05,0.75,30000.0,10000.0,False,-18299.55179886443,6726.547219390682,-3273.4527806093183,229342.28205631627,23141.44736842105,31686.509035706535,9754.490131578947,24443.18181818182,14135.840907992217,62225.75620709745,499520.6500429689
6_weeks_0.01_0.6_8000.0,6,0.01,0.6,8000.0,15000.0,False,-22138.81166728548,18460.707779797176,3460.707779797176,144377.97721241813,17739.473684210527,31686.509035706535,8191.776315789473,14465.803442714168,0.0,63736.95012157114,380608.04999798856
6_weeks_0.01_0.6_16000.0,6,0.01,0.6,16000.0,15000.0,False,-22138.81166728548,19649.27920836861,4649.279208368611,146857.9772124181,17739.473684210527,31686.509035706535,8191.776315789473,14465.803442714168,0.0,66216.95012157114,380608.04999798856
6_weeks_0.01_0.6_30000.0,6,0.01,0.6,30000.0,15000.0,False,-22138.81166728548,21729.279208368604,6729.279208368604,151197.9772124181,17739.473684210527,31686.509035706535,8191.776315789473,14465.803442714168,0.0,70556.95012157114,380608.04999798856
6_weeks_0.03_0.6_8000.0,6,0.03,0.6,8000.0,15000.0,False,-22138.81166728548,12636.933428022936,-2363.066571977064,185144.39767483782,17739.473684210527,31686.509035706535,8191.776315789473,18943.18181818182,6833.571334004184,63736.95012157114,436605.2222258289
6_weeks_0.03_0.6_16000.0,6,0.03,0.6,16000.0,15000.0,False,-22138.81166728548,13882.647713737226,-1117.3522862627742,187224.3976748378,17739.473684210527,31686.509035706535,8191.776315789473,20943.18181818182,5233.571334004184,66216.95012157114,436605.2222258289
6_weeks_0.03_0.6_30000.0,6,0.03,0.6,30000.0,15000.0,False,-22138.81166728548,16062.647713737222,1062.6477137372221,190864.3976748378,17739.473684210527,31686.509035706535,8191.776315789473,24443.18181818182,2433.571334004184,70556.95012157114,436605.2222258289
6_weeks_0.05_0.6_8000.0,6,0.05,0.6,8000.0,15000.0,False,-22138.81166728548,5949.922242886919,-9050.077757113082,231953.47597078994,17739.473684210527,31686.509035706535,8191.776315789473,18943.18181818182,18535.840907992217,63736.95012157114,499520.6500429689
6_weeks_0.05_0.6_16000.0,6,0.05,0.6,16000.0,15000.0,False,-22138.81166728548,7195.636528601205,-7804.363471398795,234033.47597078994,17739.473684210527,31686.509035706535,8191.776315789473,20943.18181818182,16935.840907992217,66216.95012157114,499520.6500429689
6_weeks_0.05_0.6_30000.0,6,0.05,0.6,30000.0,15000.0,False,-22138.81166728548,9375.6365286012,-5624.363471398799,237673.47597078994,17739.473684210527,31686.509035706535,8191.776315789473,24443.18181818182,14135.840907992217,70556.95012157114,499520.6500429689
6_weeks_0.01_0.7_8000.0,6,0.01,0.7,8000.0,15000.0,False,-20037.52877254864,17010.82258242876,2010.8225824287583,139818.19333083916,20696.052631578947,31686.509035706535,9047.072368421052,14465.803442714168,0.0,59177.166239992184,380608.04999798856
6_weeks_0.01_0.7_16000.0,6,0.01,0.7,16000.0,15000.0,False,-20037.52877254864,18199.39401100019,3199.3940110001895,142298.19333083916,20696.052631578947,31686.509035706535,9047.072368421052,14465.803442714168,0.0,61657.166239992184,380608.04999798856
6_weeks_0.01_0.7_30000.0,6,0.01,0.7,30000.0,15000.0,False,-20037.52877254864,20279.39401100019,5279.3940110001895,146638.19333083916,20696.052631578947,31686.509035706535,9047.072368421052,14465.803442714168,0.0,65997.16623999219,380608.04999798856
6_weeks_0.03_0.7_8000.0,6,0.03,0.7,8000.0,15000.0,False,-20037.52877254864,11187.048230654518,-3812.951769345482,180584.61379325885,20696.052631578947,31686.509035706535,9047.072368421052,18943.18181818182,6833.571334004184,59177.166239992184,436605.2222258289
6_weeks_0.03_0.7_16000.0,6,0.03,0.7,16000.0,15000.0,False,-20037.52877254864,12432.762516368804,-2567.2374836311956,182664.61379325885,20696.052631578947,31686.509035706535,9047.072368421052,20943.18181818182,5233.571334004184,61657.166239992184,436605.2222258289
6_weeks_0.03_0.7_30000.0,6,0.03,0.7,30000.0,15000.0,False,-20037.52877254864,14612.762516368804,-387.2374836311956,186304.61379325885,20696.052631578947,31686.509035706535,9047.072368421052,24443.18181818182,2433.571334004184,65997.16623999219,436605.2222258289
6_weeks_0.05_0.7_8000.0,6,0.05,0.7,8000.0,15000.0,False,-20037.52877254864,4500.0370455184975,-10499.962954481503,227393.692089211,20696.052631578947,31686.509035706535,9047.072368421052,18943.18181818182,18535.840907992217,59177.166239992184,499520.6500429689
6_weeks_0.05_0.7_16000.0,6,0.05,0.7,16000.0,15000.0,False,-20037.52877254864,5745.751331232784,-9254.248668767217,229473.692089211,20696.052631578947,31686.509035706535,9047.072368421052,20943.18181818182,16935.840907992217,61657.166239992184,499520.6500429689
6_weeks_0.05_0.7_30000.0,6,0.05,0.7,30000.0,15000.0,False,-20037.52877254864,7925.751331232784,-7074.248668767216,233113.692089211,20696.052631578947,31686.509035706535,9047.072368421052,24443.18181818182,14135.840907992217,65997.16623999219,499520.6500429689
6_weeks_0.01_0.75_8000.0,6,0.01,0.75,8000.0,15000.0,False,-18986.887325180214,16285.879983744542,1285.8799837445422,137538.3013900497,22174.34210526316,31686.509035706535,9474.720394736843,14465.803442714168,0.0,56897.2742992027,380608.04999798856
6_weeks_0.01_0.75_16000.0,6,0.01,0.75,16000.0,15000.0,False,-18986.887325180214,17474.45141231597,2474.4514123159715,140018.3013900497,22174.34210526316,31686.509035706535,9474.720394736843,14465.803442714168,0.0,59377.2742992027,380608.04999798856
6_weeks_0.01_0.75_30000.0,6,0.01,0.75,30000.0,15000.0,False,-18986.887325180214,19554.45141231597,4554.4514123159715,144358.3013900497,22174.34210526316,31686.509035706535,9474.720394736843,14465.803442714168,0.0,63717.2742992027,380608.04999798856
6_weeks_0.03_0.75_8000.0,6,0.03,0.75,8000.0,15000.0,False,-18986.887325180214,10462.105631970302,-4537.894368029698,178304.72185246937,22174.34210526316,31686.509035706535,9474.720394736843,18943.18181818182,6833.571334004184,56897.2742992027,436605.2222258289
6_weeks_0.03_0.75_16000.0,6,0.03,0.75,16000.0,15000.0,False,-18986.887325180214,11707.819917684586,-3292.1800823154135,180384.72185246937,22174.34210526316,31686.509035706535,9474.720394736843,20943.18181818182,5233.571334004184,59377.2742992027,436605.2222258289
6_weeks_0.03_0.75_30000.0,6,0.03,0.75,30000.0,15000.0,False,-18986.887325180214,13887.819917684586,-1112.1800823154135,184024.72185246937,22174.34210526316,31686.509035706535,9474.720394736843,24443.18181818182,2433.571334004184,63717.2742992027,436605.2222258289
6_weeks_0.05_0.75_8000.0,6,0.05,0.75,8000.0,15000.0,False,-18986.887325180214,3775.094446834285,-11224.905553165714,225113.8001484215,22174.34210526316,31686.509035706535,9474.720394736843,18943.18181818182,18535.840907992217,56897.2742992027,499520.6500429689
