blinded_facility_id,source_coverage,combined_spend,combined_units,tae_total_spend,tae_total_units,tae_months,tae_vendors,rb_total_spend,rb_total_units,rb_months,rb_ndcs
FAC_0188,BOTH,45841.83,1369.0,45226.21,1364.0,24.0,3.0,615.62,5.0,4.0,4.0
FAC_0189,BOTH,45457.88,6211.0,45287.88,6207.0,24.0,1.0,170.0,4.0,2.0,1.0
FAC_0190,BOTH,45397.81,1121.0,44382.46,1100.0,7.0,2.0,1015.35,21.0,15.0,13.0
FAC_0191,BOTH,45187.149999999994,2148.0,44988.439999999995,2146.0,9.0,2.0,198.71,2.0,7.0,9.0
FAC_0192,BOTH,45131.29,819.0,37770.5,738.0,17.0,2.0,7360.79,81.0,20.0,8.0
FAC_0193,TAE_ONLY,44694.92,1332.0,44694.92,1332.0,12.0,3.0,0.0,0.0,3.0,10.0
FAC_0194,BOTH,44194.130000000005,1784.0,43873.41,1779.0,24.0,2.0,320.72,5.0,5.0,4.0
FAC_0195,TAE_ONLY,42564.600000000006,1432.0,42564.600000000006,1432.0,24.0,1.0,0.0,0.0,,
FAC_0196,BOTH,42244.18,18595.0,41783.78,18589.0,24.0,2.0,460.4,6.0,8.0,5.0
FAC_0197,BOTH,42088.229999999996,7892.0,41702.67,7885.0,24.0,1.0,385.56,7.0,11.0,5.0
FAC_0198,TAE_ONLY,41976.58,1509.0,41976.58,1509.0,24.0,2.0,0.0,0.0,,
FAC_0199,BOTH,41536.84,1144.0,41199.909999999996,1138.0,24.0,5.0,336.92999999999995,6.0,6.0,4.0
FAC_0200,BOTH,41377.15000000001,1906.0,39148.310000000005,1877.0,21.0,3.0,2228.84,29.0,5.0,6.0
FAC_0201,BOTH,41316.39,1341.0,39999.58,1320.0,24.0,2.0,1316.81,21.0,12.0,10.0
FAC_0202,BOTH,41127.119999999995,1135.0,40134.979999999996,1110.0,23.0,4.0,992.14,25.0,12.0,17.0
FAC_0203,BOTH,41082.100000000006,14443.0,40481.19,14438.0,24.0,1.0,600.91,5.0,4.0,6.0
FAC_0204,BOTH,40964.87,965.0,40012.14,949.0,24.0,4.0,952.73,16.0,14.0,9.0
FAC_0205,BOTH,40750.0,1449.0,40038.46,1446.0,11.0,2.0,711.54,3.0,4.0,4.0
FAC_0206,BOTH,40386.225,12037.0,39689.729999999996,12022.0,23.0,5.0,696.4950000000001,15.0,4.0,3.0
FAC_0207,BOTH,40081.0,15834.0,39119.22,15823.0,24.0,2.0,961.78,11.0,10.0,6.0
FAC_0208,BOTH,40074.07,18666.0,39715.4,18658.0,24.0,1.0,358.67,8.0,3.0,2.0
FAC_0209,TAE_ONLY,39840.54,1445.0,39840.54,1445.0,20.0,1.0,0.0,0.0,,
FAC_0210,BOTH,39721.59,3648.0,39118.2,3636.0,20.0,3.0,603.39,12.0,7.0,4.0
FAC_0211,BOTH,39618.566000000006,1147.0,37149.016,1113.0,21.0,1.0,2469.55,34.0,11.0,11.0
FAC_0212,BOTH,38894.619999999995,1382.0,38802.659999999996,1380.0,21.0,2.0,91.96,2.0,2.0,1.0
FAC_0213,BOTH,38740.530000000006,887.0,38383.090000000004,880.0,24.0,1.0,357.44,7.0,2.0,2.0
FAC_0214,TAE_ONLY,38643.72,1428.0,38643.72,1428.0,24.0,3.0,0.0,0.0,,
FAC_0215,BOTH,38482.44,8914.0,33974.69,8871.0,16.0,1.0,4507.75,43.0,19.0,27.0
FAC_0216,BOTH,38396.633,1785.0,38367.71,1784.0,24.0,3.0,28.923,1.0,5.0,1.0
FAC_0217,BOTH,38195.770000000004,1079.0,35887.04,1049.0,24.0,2.0,2308.73,30.0,9.0,12.0
FAC_0218,BOTH,37987.09,1064.0,36365.7,1033.0,22.0,4.0,1621.39,31.0,11.0,11.0
FAC_0219,BOTH,37831.147,6312.0,23410.157,6085.0,24.0,1.0,14420.99,227.0,23.0,26.0
FAC_0220,BOTH,37731.649999999994,3176.0,35253.38,3152.0,24.0,2.0,2478.27,24.0,11.0,11.0
FAC_0221,BOTH,37645.4,949.0,36943.54,940.0,22.0,4.0,701.86,9.0,11.0,4.0
FAC_0222,TAE_ONLY,37431.729999999996,2028.0,37431.729999999996,2028.0,24.0,2.0,0.0,0.0,1.0,1.0
FAC_0223,BOTH,37423.57,815.0,37245.79,811.0,16.0,3.0,177.78,4.0,4.0,3.0
FAC_0224,BOTH,37011.46,1337.0,33233.34,1268.0,23.0,2.0,3778.12,69.0,10.0,7.0
FAC_0225,BOTH,36950.840000000004,1102.0,36559.11,1092.0,24.0,3.0,391.73,10.0,5.0,5.0
FAC_0226,TAE_ONLY,36862.51,1721.0,36862.51,1721.0,20.0,2.0,0.0,0.0,,
FAC_0227,BOTH,36806.04,1130.0,36514.98,1122.0,24.0,3.0,291.06,8.0,2.0,4.0
FAC_0228,BOTH,36799.509999999995,946.0,31366.6,901.0,18.0,5.0,5432.91,45.0,4.0,4.0
FAC_0229,BOTH,36788.43,1137.0,36742.45,1136.0,24.0,2.0,45.98,1.0,1.0,1.0
FAC_0230,TAE_ONLY,36439.81,11594.0,36439.81,11594.0,18.0,1.0,0.0,0.0,,
FAC_0231,BOTH,35607.75,987.0,35099.96,980.0,18.0,3.0,507.79,7.0,5.0,3.0
FAC_0232,BOTH,35604.89000000001,1429.0,33691.770000000004,1402.0,23.0,3.0,1913.12,27.0,9.0,10.0
FAC_0233,BOTH,35562.38,973.0,33367.31,926.0,24.0,4.0,2195.07,47.0,11.0,6.0
FAC_0234,TAE_ONLY,35504.67,12578.0,35504.67,12578.0,21.0,3.0,0.0,0.0,,
FAC_0235,BOTH,34675.09,1128.0,29197.42,1114.0,11.0,2.0,5477.67,14.0,9.0,6.0
FAC_0236,TAE_ONLY,34656.05,1097.0,34656.05,1097.0,10.0,3.0,0.0,0.0,,
FAC_0237,BOTH,34507.54,909.0,34236.31,904.0,24.0,3.0,271.23,5.0,5.0,2.0
