facility_id,month_year_fmt,ndc,rb_spend,rb_units
621540,2024-01,63323017876,52.5,1.0
MS0062,2024-01,63323087374,84.0,2.0
IA2031,2024-01,63323068810,39.84,1.0
846597,2024-01,63323068810,69.04,1.0
AD9932,2024-01,63323066910,33.7,1.0
682520,2024-01,65219047410,148.65,3.0
WV0065,2024-01,63323053075,73.53,1.0
821820,2024-01,63323087374,39.87,1.0
605075,2024-01,63323068310,66.64,2.0
734996,2024-01,63323066910,43.32,1.0
KY0080,2024-01,65219047220,515.1999999999999,7.0
606222,2024-01,63323053075,70.69,1.0
IN2026,2024-01,63323068610,88.88,2.0
808469,2024-01,63323068810,56.6,1.0
611995,2024-01,63323017876,93.0,3.0
MD0100,2024-01,63323068610,47.5,1.0
667853,2024-01,63323082475,332.64,3.0
721174,2024-01,63323068810,39.88,1.0
804425,2024-01,63323086910,44.0,1.0
NY5110,2024-01,63323068810,56.59,1.0
740241,2024-01,65219025810,451.54,1.0
AI4173,2024-01,63323068810,51.48,1.0
605821,2024-01,65219025810,-906.04,-2.0
DC0005,2024-01,63323068610,33.46,1.0
NE2038,2024-01,65219047910,106.06,2.0
687684,2024-01,63323062650,83.81,1.0
DE0002,2024-01,65219022225,487.8,5.0
AB9955,2024-01,63323068610,38.69,1.0
630398,2024-01,63323082476,60.26,1.0
AH4310,2024-01,63323082474,56.54,1.0
847011,2024-01,63323017876,34.1,1.0
MN2047,2024-01,63323068610,86.92,2.0
TX0323,2024-01,63323062610,208.6,5.0
605219,2024-01,65219024050,541.94,7.0
742090,2024-01,63323068610,173.84,4.0
NY2143,2024-01,63323068810,39.16,1.0
610667,2024-01,63323053075,1441.25,36.0
746295,2024-01,65219047410,251.70000000000002,6.0
690176,2024-01,65219014210,-86.1,-1.0
AQ6427,2024-01,63323053075,-183.4,-2.0
NY2143,2024-01,63323053075,92.4,2.0
804252,2024-01,63323087074,24.93,1.0
729621,2024-01,63323062610,45.6,1.0
703492,2024-01,65219047220,46.2,1.0
730764,2024-01,65219047030,281.12,4.0
657211,2024-01,65219015075,214.26,2.0
AE5891,2024-01,65219047410,91.2,2.0
712581,2024-01,63323068310,270.96,8.0
758923,2024-01,65219047410,182.4,4.0
PA2196,2024-01,63323017876,205.92,6.0
638186,2024-01,63323082476,60.47,1.0
744191,2024-01,63323082475,-66.51,-1.0
641329,2024-01,63323066910,38.69,1.0
AA4498,2024-01,63323068310,66.92,2.0
CA2673,2024-01,65219047220,80.0,1.0
CO2005,2024-01,65219047030,102.0,1.0
AG4724,2024-01,65219047220,73.6,1.0
736265,2024-01,63323068310,43.37,1.0
NC0153,2024-01,63323068810,169.8,3.0
WV0036,2024-01,63323087310,52.38,2.0
843384,2024-01,65219047030,278.56,4.0
TX0420,2024-01,65219047030,127.96,2.0
AE3221,2024-01,63323068810,113.18,2.0
NY5029,2024-01,63323087074,24.93,1.0
CA2247,2024-01,65219014610,86.1,1.0
AA2480,2024-01,63323017876,31.0,1.0
AG3004,2024-01,63323062625,374.12,4.0
718354,2024-01,65219047030,59.84,1.0
675023,2024-01,63323082475,42.0,1.0
IL2011,2024-01,63323068310,33.2,1.0
NV2013,2024-01,63323086910,25.8,1.0
786480,2024-01,63323062610,45.6,1.0
IL0071,2024-01,65219047030,182.46,3.0
TX0077,2024-01,65219047410,258.1,10.0
782833,2024-01,63323062610,51.7,2.0
GA0073,2024-01,63323068310,33.23,1.0
644702,2024-01,63323087310,25.78,1.0
FL0043,2024-01,63323068310,66.64,2.0
AF4559,2024-01,65219047410,210.08,8.0
MN5050,2024-01,65219047030,510.0,5.0
644406,2024-01,65219047030,306.0,3.0
NY2327,2024-01,63323082476,259.16,4.0
626943,2024-01,63323053075,212.07,3.0
786930,2024-01,63323087074,24.93,1.0
670280,2024-01,63323053075,43.58,1.0
MD0067,2024-01,63323068610,67.94,2.0
703019,2024-01,65219047220,147.54,3.0
PA2053,2024-01,63323066910,33.44,1.0
AF5950,2024-01,65219047410,312.0,12.0
612967,2024-01,65219047030,95.88,1.0
GA2039,2024-01,65219014610,95.04,1.0
NY5017,2024-01,63323087310,34.05,1.0
649278,2024-01,65219022225,701.96,7.0
NC0153,2024-01,63323068310,47.5,1.0
843508,2024-01,65219038910,1036.77,7.0
606222,2024-01,63323082476,129.58,2.0
HI2013,2024-01,63323053075,46.2,1.0
744448,2024-01,63323068310,33.31,1.0
TX0207,2024-01,65219047220,31.96,1.0
721175,2024-01,63323068310,33.46,1.0
NY2145,2024-01,63323053075,74.4,1.0
658410,2024-01,63323068610,101.31,3.0
685181,2024-01,63323068310,33.86,1.0
706482,2024-01,63323068810,62.4,1.0
611054,2024-01,63323087310,28.2,1.0
776511,2024-01,63323062625,60.89,1.0
AH1803,2024-01,63323086910,34.05,1.0
AB5316,2024-01,65219047030,183.51,3.0
610796,2024-01,65219047410,1459.2,32.0
MA2455,2024-01,65219047030,68.4,1.0
AE0026,2024-01,65219047410,301.62,6.0
668739,2024-01,63323053075,46.2,1.0
668739,2024-01,63323068310,-21.74,-1.0
630389,2024-01,63323053075,76.33,1.0
781795,2024-01,63323053075,70.69,1.0
710161,2024-01,63323068310,86.7,2.0
WV0059,2024-01,63323068610,190.0,4.0
649419,2024-01,65219047030,118.12,2.0
AP0345,2024-01,65219011810,85.33,1.0
804303,2024-01,63323062600,79.5,1.0
NY2145,2024-01,63323066910,77.38,2.0
MN2017,2024-01,63323017876,28.63,1.0
WI2159,2024-01,65219023825,96.61,1.0
640880,2024-01,65219047030,62.25,1.0
727428,2024-01,65219047410,819.3,30.0
804252,2024-01,63323017876,0.0,0.0
TX2302,2024-01,65219011810,658.7,7.0
VA0095,2024-01,63323017876,112.10999999999999,3.0
NC0097,2024-01,63323053075,46.2,1.0
NC0042,2024-01,65219025810,1807.52,4.0
TX0077,2024-01,65219047030,65.48,1.0
KY0063,2024-01,65219015310,86.1,1.0
662105,2024-01,63323068610,55.58,1.0
FL2004,2024-01,63323062625,383.18,7.0
612412,2024-01,63323082474,0.0,0.0
NC0153,2024-01,63323068610,47.5,1.0
775316,2024-01,63323087374,40.41,1.0
KY0087,2024-01,65219047410,32.74,1.0
781393,2024-01,63323068810,39.76,1.0
AC0236,2024-01,63323062625,193.0,2.0
AG3142,2024-01,63323087310,34.05,1.0
WI2004,2024-01,65219023825,96.99,1.0
698171,2024-01,63323053075,1791.0,45.0
IL2386,2024-01,65219025810,7720.72,17.0
AD9998,2024-01,63323082476,99.2,2.0
AE0031,2024-01,63323062610,56.1,2.0
805439,2024-01,65219047220,92.4,2.0
804250,2024-01,65219047410,41.95,1.0
649278,2024-01,65219047220,152.8,2.0
VA0021,2024-01,63323053075,369.6,8.0
674290,2024-01,65219047410,51.8,2.0
630388,2024-01,63323066910,116.07,3.0
NY2164,2024-01,65219047220,95.54,2.0
NY5017,2024-01,63323082476,129.58,2.0
721172,2024-01,63323068310,100.38,3.0
AB9778,2024-01,65219047030,61.17,1.0
DE0002,2024-01,63323068610,47.5,1.0
640889,2024-01,63323087010,53.44,1.0
786930,2024-01,65219047030,81.42,1.0
MI2048,2024-01,63323082476,25.85,1.0
IL2017,2024-01,65219025810,1350.9,3.0
TX0027,2024-01,65219047410,83.9,2.0
AD9932,2024-01,63323068810,40.16,1.0
605755,2024-01,63323053075,70.69,1.0
627592,2024-01,63323082476,43.0,2.0
NY5029,2024-01,63323053075,141.38,2.0
IA2344,2024-01,63323053075,90.72,2.0
NY5065,2024-01,63323066910,133.41,3.0
809162,2024-01,63323066910,0.0,0.0
747952,2024-01,63323068610,43.42,1.0
CA2017,2024-01,63323068810,79.76,2.0
KY0114,2024-01,63323066910,33.62,1.0
LA0886,2024-01,65219025810,457.967,1.0
744191,2024-01,63323082476,-64.79,-1.0
CA5026,2024-01,65219011810,86.05,1.0
631298,2024-01,65219047220,294.4,4.0
TX0420,2024-01,65219047410,554.1800000000001,22.0
728082,2024-01,63323062650,83.91,1.0
NY5035,2024-01,63323068310,33.620000000000005,1.0
823599,2024-01,63323068310,42.42,1.0
605821,2024-01,63323062625,93.33,1.0
VA0066,2024-01,65219047220,147.2,2.0
GA2038,2024-01,65219047030,238.5,3.0
PA2196,2024-01,63323068610,0.0,0.0
630388,2024-01,63323053075,70.69,1.0
709159,2024-01,63323087010,158.0,2.0
658410,2024-01,63323068810,40.24,1.0
809162,2024-01,63323068810,0.0,0.0
765266,2024-01,63323087074,49.86,2.0
627627,2024-01,63323062625,56.48,1.0
605170,2024-01,65219047410,159.44,8.0
704140,2024-01,63323068810,56.59,1.0
NY2371,2024-01,63323082476,194.37,3.0
721170,2024-01,63323062625,0.0,0.0
AB9983,2024-01,65219047410,154.02,6.0
644476,2024-01,65219023610,92.08,2.0
AG5958,2024-01,63323053075,41.47,1.0
626089,2024-01,65219014410,56.66,1.0
AI8358,2024-01,65219047410,0.0,0.0
CA2305,2024-01,65219011910,86.06,1.0
FL0046,2024-01,63323017876,68.64,2.0
AD9932,2024-01,63323068310,33.7,1.0
630398,2024-01,63323066910,0.0,0.0
TX0323,2024-01,65219025810,2265.1,5.0
690177,2024-01,63323053075,73.2,1.0
603139,2024-01,65219047410,54.9,2.0
IN2026,2024-01,65219014410,211.89,3.0
VA0066,2024-01,65219047030,168.44,2.0
OH2001,2024-01,65219047410,54.9,2.0
AE2961,2024-01,65219047030,168.44,2.0
MD0056,2024-01,63323068610,44.44,1.0
736246,2024-01,63323068610,86.92,2.0
655721,2024-01,65219022450,74.4,1.0
DE0002,2024-01,65219047030,1122.0,11.0
CA2037,2024-01,63323068310,0.0,0.0
622359,2024-01,63323062625,166.14000000000001,3.0
831802,2024-01,63323068610,55.58,1.0
824068,2024-01,63323053075,44.52,1.0
799320,2024-01,65219047410,45.6,1.0
OR2008,2024-01,63323068310,33.2,1.0
WA2025,2024-01,63323068610,47.5,1.0
AF4559,2024-01,65219047030,66.65,1.0
718354,2024-01,65219047220,84.16,2.0
TN0018,2024-01,63323053075,219.60000000000002,3.0
NY2007,2024-01,63323053075,494.83,7.0
AR0052,2024-01,63323053075,73.2,1.0
658415,2024-01,63323068610,87.88,2.0
841517,2024-01,65219047410,24.05,1.0
739277,2024-01,63323062625,102.0,1.0
LA0120,2024-01,63323068610,109.5,3.0
681923,2024-01,63323068610,0.0,0.0
NC0121,2024-01,63323062625,0.0,0.0
721172,2024-01,63323062625,54.73,1.0
FL2004,2024-01,63323068610,66.94,2.0
727338,2024-01,63323053075,636.8,16.0
682520,2024-01,65219047030,84.22,1.0
PA2006,2024-01,63323082476,51.7,2.0
AT2051,2024-01,63323053075,73.2,1.0
VA0135,2024-01,65219014810,114.79,1.0
WA2007,2024-01,63323068610,33.05,1.0
740241,2024-01,63323066910,33.29,1.0
630388,2024-01,65219015075,-423.78,-3.0
AE0031,2024-01,63323062655,50.57,1.0
650699,2024-01,63323086910,79.74,3.0
798486,2024-01,65219015310,0.0,0.0
CA0038,2024-01,65219047030,246.4,4.0
729144,2024-02,65219047410,137.92,4.0
AI6488,2024-02,63323082476,34.72,1.0
TX0226,2024-02,63323082476,583.11,9.0
NY5110,2024-02,63323053075,70.69,1.0
709157,2024-02,63323082475,100.8,1.0
